skill_id:ID,skill_name,aliases[],:LABEL
8043,ps ca mm mrp,ps ca mm mrp,SKILL
8044,gpd system,gpd system,SKILL
8045,derivatives asset management,derivatives asset management,SKILL
8046,intex,intex,SKILL
8047,1010 data,1010 data,SKILL
8048,lpc,lpc,SKILL
8049,activitiesrequirements high school,activitiesrequirements high school,SKILL
8050,labormanagement partnership,labormanagement partnership,SKILL
8051,senior consultants,senior consultants,SKILL
8052,health care administration,health care administration,SKILL
8053,public health administration,public health administration;public administration,SKILL
8054,assists senior consultants,assists senior consultants,SKILL
8055,requirements specific,requirements specific,SKILL
8056,general education development ged,general education development ged,SKILL
8057,summaryprovides,summaryprovides,SKILL
8058,formulates,formulate;formulates,SKILL
8059,general education development,general education development,SKILL
8060,"economics, health care administration","economics, health care administration",SKILL
8061,hadoop admin,hadoop admin,SKILL
8062,hbase cassandra,hbase cassandra,SKILL
8063,hue,hue,SKILL
8064,the rate and credit,the rate and credit,SKILL
8065,ios security,ios security,SKILL
8066,malware,malware,SKILL
8067,biostatistics,biostatistics,SKILL
8068,sr net developer  full stack,sr net developer  full stack,SKILL
8069,"active directory, exchange","active directory, exchange",SKILL
8070,lead service desk technician,lead service desk technician,SKILL
8071,lead service desk technician qualificationsbachelor’s degree,lead service desk technician qualificationsbachelor’s degree,SKILL
8072,linuxexperience,linuxexperience,SKILL
8073,esxi serversactive directory,esxi serversactive directory,SKILL
8074,server deployments,server deployments,SKILL
8075,patchingupdates and pushouts,patchingupdates and pushouts,SKILL
8076,sales experience,sales experience,SKILL
8077,relationship building,relationship building,SKILL
8078,persistence,persistence,SKILL
8079,help desk technician,help desk technician,SKILL
8080,help desk tech,help desk tech,SKILL
8081,computer technician,computer technician,SKILL
8082,oops,oops,SKILL
8083,clsa,clsa,SKILL
8084,prpc,prpc,SKILL
8085,cpmcpmhc,cpmcpmhc,SKILL
8086,udb infrastructure,udb infrastructure;infrastructure,SKILL
8087,status reports,status reports,SKILL
8088,trend analysis,trend analysis,SKILL
8089,powerpoint presentation,powerpoint presentation,SKILL
8090,java and c++,java and c++,SKILL
8091,apache hadoop,apache hadoop,SKILL
8092,big data ecosystems  hadoop,big data ecosystems  hadoop,SKILL
8093,fmeca,fmeca,SKILL
8094,migration software,migration software,SKILL
8095,it infrastructure migrations,it infrastructure migrations,SKILL
8096,software replatforming,software replatforming,SKILL
8097,cloud services,cloud services,SKILL
8098,apics,apics,SKILL
8099,inventory planning,inventory planning,SKILL
8100,supply planner,supply planner,SKILL
8101,master planning,master planning,SKILL
8102,amq,amq,SKILL
8103,xml schemas,xml schemas,SKILL
8104,sb,sb,SKILL
8105,net frameworks,net frameworks,SKILL
8106,wadl,wadl,SKILL
8107,handlebar,handlebar;handlebars,SKILL
